projeto_id;team_id;team_str;ae_bn_mean;rank_bn;AT_cont;AC_cont;dist_AT;dist_AC;dist_AE;pc_score;pc_label;dominio_tier;ecossistema_tier;linguagens_tier;dominio_score;ecossistema_score;linguagens_score;t_cpt_build_s;t_dim_s;t_pc_graph_s;t_pc_transform_s;t_infer_at_s;t_infer_ae_s;t_infer_total_s;t_team_total_s;t_project_total_s;t_project_total_plus_cpt_s;dominio_m_total;dominio_m_covered;dominio_m_covered_list;dominio_s_total;dominio_s_covered;dominio_s_covered_list;dominio_c_total;dominio_c_covered;dominio_c_covered_list;ecossistema_m_total;ecossistema_m_covered;ecossistema_m_covered_list;ecossistema_s_total;ecossistema_s_covered;ecossistema_s_covered_list;ecossistema_c_total;ecossistema_c_covered;ecossistema_c_covered_list;linguagens_m_total;linguagens_m_covered;linguagens_m_covered_list;linguagens_s_total;linguagens_s_covered;linguagens_s_covered_list;linguagens_c_total;linguagens_c_covered;linguagens_c_covered_list
P1;P1-TEAM0;"[Dev169;Dev27;Dev81;Dev363]";0.164440;2;0.150789;0.300174;0.746058,0.253940,0.000002,0.000000,0.000000;0.022318,0.954493,0.023190,0.000000,0.000000;0.683964,0.309870,0.006165,0.000000,0.000000;0.200000;L;L;VL;VL;0.250000;0.000000;0.000000;4.218184;0.012692;0.000059;0.000180;0.012392;0.017310;0.029702;0.062025;0.353703;4.571887;2;1;web;1;0;;1;1;mobile;1;0;;1;1;react;1;0;;1;0;;2;1;javascript;1;0;
P1;P1-TEAM1;"[Dev71;Dev518;Dev509;Dev439]";0.107289;5;0.104680;0.104680;0.976598,0.023402,0.000000,0.000000,0.000000;0.976598,0.023402,0.000000,0.000000,0.000000;0.963566,0.036420,0.000013,0.000000,0.000000;0.100000;VL;VL;VL;VL;0.125000;0.000000;0.000000;4.218184;0.011418;0.000036;0.000069;0.019880;0.016961;0.036841;0.072084;0.353703;4.571887;2;1;web;1;0;;1;0;;1;0;;1;1;react;1;0;;1;0;;2;2;javascript,typescript;1;1;python
P1;P1-TEAM2;"[Dev205;Dev526;Dev363;Dev447]";0.123059;4;0.104680;0.300174;0.976598,0.023402,0.000000,0.000000,0.000000;0.022318,0.954493,0.023190,0.000000,0.000000;0.885273,0.114159,0.000568,0.000000,0.000000;0.200000;L;VL;VL;VL;0.142857;0.000000;0.000000;4.218184;0.010362;0.000031;0.000062;0.028271;0.018703;0.046974;0.069358;0.353703;4.571887;2;1;web;1;0;;1;1;mobile;1;0;;1;1;react;1;0;;1;0;;2;1;javascript;1;0;
P1;P1-TEAM3;"[Dev33;Dev303;Dev270;Dev93]";0.541356;1;0.782261;0.300174;0.000000,0.000000,0.000080,0.588534,0.411386;0.022318,0.954493,0.023190,0.000000,0.000000;0.000000,0.019541,0.754366,0.225862,0.000230;0.200000;L;H;M;VH;0.642857;0.500000;0.857143;4.218184;0.009706;0.000031;0.000059;0.016369;0.020950;0.037318;0.059278;0.353703;4.571887;2;2;desktop,web;1;1;cloud;1;0;;1;1;.net;1;0;;1;0;;1;1;c#;2;2;javascript,typescript;1;1;python
P1;P1-TEAM4;"[Dev316;Dev389;Dev526;Dev308]";0.129826;3;0.150789;0.104680;0.746058,0.253940,0.000002,0.000000,0.000000;0.976598,0.023402,0.000000,0.000000,0.000000;0.851017,0.148837,0.000146,0.000000,0.000000;0.100000;VL;L;VL;VL;0.250000;0.000000;0.000000;4.218184;0.008764;0.000044;0.000083;0.034538;0.022775;0.057313;0.087605;0.353703;4.571887;2;1;web;1;0;;1;1;mobile;1;0;;1;1;react;1;0;;1;0;;2;1;javascript;1;0;
P2;P2-TEAM0;"[Dev466;Dev93;Dev437;Dev292]";0.276024;2;0.249664;0.499980;0.252112,0.747457,0.000431,0.000000,0.000000;0.000000,0.022801,0.954500,0.022699,0.000000;0.190867,0.738156,0.070966,0.000010,0.000000;0.400000;M;M;VL;VL;0.428572;0.142857;0.093750;4.218184;0.019068;0.000057;0.000063;0.013899;0.016104;0.030003;0.083153;0.299726;4.517909;1;1;mobile;1;1;web;1;1;cloud;2;0;;1;0;;1;1;.net;2;1;swift;2;1;javascript;2;1;c#
P2;P2-TEAM1;"[Dev270;Dev411;Dev479;Dev503]";0.154928;5;0.104680;0.499980;0.976598,0.023402,0.000000,0.000000,0.000000;0.000000,0.022801,0.954500,0.022699,0.000000;0.727571,0.270218,0.002211,0.000000,0.000000;0.400000;M;VL;VL;VL;0.000000;0.000000;0.000000;4.218184;0.010003;0.000031;0.000062;0.011053;0.012917;0.023970;0.043920;0.299726;4.517909;1;0;;1;1;web;1;0;;2;0;;1;1;react;1;0;;2;0;;2;2;javascript,typescript;2;1;java
P2;P2-TEAM2;"[Dev115;Dev119;Dev399;Dev193]";0.276024;3;0.249664;0.499980;0.252112,0.747457,0.000431,0.000000,0.000000;0.000000,0.022801,0.954500,0.022699,0.000000;0.190867,0.738156,0.070966,0.000010,0.000000;0.400000;M;M;VL;VL;0.428572;0.142857;0.125000;4.218184;0.009780;0.000028;0.000057;0.015635;0.013266;0.028902;0.055977;0.299726;4.517909;1;1;mobile;1;1;web;1;0;;2;0;;1;0;;1;1;.net;2;1;swift;2;1;javascript;2;2;c#,java
P2;P2-TEAM3;"[Dev468;Dev263;Dev503;Dev5]";0.276024;4;0.249664;0.499980;0.252112,0.747457,0.000431,0.000000,0.000000;0.000000,0.022801,0.954500,0.022699,0.000000;0.190867,0.738156,0.070966,0.000010,0.000000;0.400000;M;M;VL;VL;0.428572;0.107143;0.062500;4.218184;0.012046;0.000027;0.000058;0.024131;0.013751;0.037882;0.065671;0.299726;4.517909;1;1;mobile;1;1;web;1;1;cloud;2;1;android;1;1;react;1;0;;2;1;kotlin;2;1;javascript;2;0;
P2;P2-TEAM4;"[Dev104;Dev363;Dev544;Dev81]";0.394972;1;0.489471;0.300174;0.000000,0.059900,0.932845,0.007255,0.000000;0.022318,0.954493,0.023190,0.000000,0.000000;0.002448,0.521005,0.475785,0.000762,0.000000;0.200000;L;M;L;M;0.500000;0.285714;0.464286;4.218184;0.008464;0.000030;0.000055;0.011672;0.015751;0.027423;0.047875;0.299726;4.517909;1;1;mobile;1;0;;1;0;;2;1;android;1;0;;1;0;;2;2;kotlin,swift;2;1;javascript;2;0;
